GX304-1_55058,3-5keV,5-12keV,12-20keV
# GX 304-1,Ver 4,2013-2-22,unit:crab,created by Takagi,,
#MJD,3-5keV,error,5-12keV,error,12-20keV,error
#date,c/s/cm^2,c/s/cm^2,c/s/cm^2,c/s/cm^2,c/s/cm^2,c/s/cm^2
55058.479965,0.00646067,0.00205993,0.0181293,0.00450346,0.0134529,0.0165919
55059.488920,0.00486891,0.00187266,0.00796767,0.00415704,-0.00134529,0.0161435
55060.505285,0.00786517,0.00205993,0.0121247,0.00427252,0.0107623,0.0170404
55061.514275,0.00655431,0.00196629,0.017552,0.00438799,0.0130045,0.0170404
55062.482305,0.00355805,0.00196629,0.00796767,0.00450346,0.00493274,0.0179372
55063.491290,0.0093633,0.00224719,0.00819861,0.00450346,-0.00269058,0.0174888
55064.507280,0.00355805,0.00205993,0.00588915,0.00450346,-0.00717489,0.0174888
55065.516295,0.00477528,0.00243446,0.0073903,0.00531178,-0.00224215,0.0210762
55066.483930,0.00318352,0.00224719,0.00785219,0.00484988,-0.0215247,0.0192825
55067.492960,0.00187266,0.00215356,0.00981524,0.00496536,-0.0188341,0.0192825
55068.509360,0.00234082,0.00224719,0.00750577,0.00496536,0.00627803,0.0197309
55069.518390,0.00224719,0.00215356,0.0051963,0.00508083,-0.0233184,0.0192825
55070.486000,0.000561798,0.00234082,0.00727483,0.00531178,-0.00134529,0.0210762
55073.647805,0.000280899,0.00318352,0.00877598,0.00681293,0.00852018,0.0264574
55074.518155,0.00243446,0.00280899,0.00866051,0.00600462,0.0112108,0.0237668
55075.470720,9.3633e-05,0.00252809,0.00450346,0.00542725,-0.0152466,0.0201794
55076.487110,0.00290262,0.00262172,-0.00461894,0.0051963,0.0107623,0.0201794
55077.447365,0.00280899,0.00262172,0.00623557,0.0056582,-0.029148,0.0224215
55078.488040,0.00159176,0.00252809,-0.00103926,0.00588915,-0.00852018,0.0237668
55079.440810,0.00121723,0.00271536,0.00034642,0.0056582,-0.000896861,0.02287
55080.488885,0.00224719,0.00262172,-0.00196305,0.00542725,-0.0188341,0.0224215
55081.480790,0,0.00271536,-0.00230947,0.00612009,0.0134529,0.0251121
55082.490495,0.00168539,0.00262172,0.00750577,0.00658199,-0.0103139,0.0251121
55083.492725,0.00262172,0.00234082,0.00612009,0.00554273,-0.00852018,0.0215247
55084.508845,0.00177903,0.00224719,-0.00150115,0.00542725,-0.00358744,0.0219731
55085.476400,0.00243446,0.00215356,0.00484988,0.00531178,-0.0107623,0.0215247
55086.485035,0.00383895,0.00224719,0.000230947,0.0051963,-0.0251121,0.0219731
55087.501110,0.000655431,0.00215356,-0.0034642,0.0051963,-0.0156951,0.0215247
55088.509675,0.0011236,0.00215356,0.000577367,0.00531178,0.00538117,0.0215247
55089.477170,0.00187266,0.00215356,0.00369515,0.00508083,0.0174888,0.0210762
55090.485675,-9.3633e-05,0.00205993,0.00323326,0.0051963,-0.00986547,0.0215247
55091.494260,0.00458801,0.00252809,0.00230947,0.00554273,0.00672646,0.0224215
55092.510405,0.00552434,0.00262172,0.000923788,0.00635104,-0.00538117,0.0264574
55093.477670,-0.00224719,0.011236,0.0419169,0.030485,-0.1713,0.129596
55094.493450,0.00355805,0.00262172,0.00265589,0.00612009,-0.00313901,0.026009
55095.509185,0.00215356,0.00243446,0.00808314,0.00542725,-0.0165919,0.0224215
55097.335100,0.0167603,0.00692884,-0.00715935,0.0135104,-0.0295964,0.0457399
55098.287160,0.0102996,0.00683521,-0.0130485,0.0130485,-0.00358744,0.0466368
55099.302615,-0.000561798,0.00636704,0.00484988,0.0135104,-0.00852018,0.0479821
55100.286235,-0.00168539,0.00514981,0.0056582,0.0108545,-0.0376682,0.0381166
55101.301470,0.011236,0.00552434,-0.00531178,0.0114319,0.038565,0.0434978
55102.253180,-0.00131086,0.00533708,0.0106236,0.0106236,-0.0233184,0.0381166
55103.299900,0.00440075,0.00599251,0.00473441,0.012933,0.0147982,0.0488789
55104.283030,0.00383895,0.00514981,0.017321,0.0112009,0.0206278,0.044843
55105.234420,0.00674157,0.00599251,0.0209007,0.013164,-0.035426,0.038565
55106.597750,-0.00477528,0.00589888,0.002194,0.0127021,-0.0273543,0.0529148
55107.453615,9.3633e-05,0.00234082,0,0.00496536,-0.0134529,0.0206278
55108.499655,0.00159176,0.00215356,0.00277136,0.00450346,-0.02287,0.0188341
55109.514005,0.000374532,0.00215356,0.00115473,0.00450346,-0.00179372,0.0174888
55110.496690,0.00393258,0.00224719,0.00230947,0.00450346,0.00538117,0.0170404
55111.479450,0.00168539,0.00224719,-0.000115473,0.00461894,0.0340807,0.0165919
55112.398905,0.00149813,0.00234082,0.00115473,0.00484988,-0.0174888,0.0170404
55113.603825,-0.00168539,0.00486891,0.00288684,0.0113164,-0.0394619,0.0443946
55114.618745,0.00093633,0.00280899,0,0.00577367,-0.0278027,0.0206278
55115.252915,0.00102996,0.00393258,0.00969977,0.00796767,-0.0215247,0.0269058
55116.489905,0.00140449,0.00280899,-0.00981524,0.00577367,0.0210762,0.0210762
55117.511725,0.00131086,0.00280899,0.00588915,0.00588915,-0.0286996,0.0197309
55118.520020,0.00224719,0.00280899,0.00646651,0.00588915,-0.0286996,0.0201794
55119.485395,0.00327715,0.00271536,0.00473441,0.00542725,0.0044843,0.0192825
55120.493775,0.00140449,0.00252809,0.00923788,0.00531178,0.00807175,0.0197309
55121.509085,-0.000749064,0.00262172,-0.00300231,0.00531178,0.0112108,0.0192825
55122.517200,-0.00243446,0.00262172,0.00773672,0.00623557,0.000896861,0.0219731
55123.507540,0.000187266,0.00355805,0.00889145,0.00785219,-0.0134529,0.0286996
55124.459350,-9.3633e-05,0.00477528,0.0118938,0.0105081,0.0394619,0.0403587
55125.880080,0.00664794,0.00664794,0.00277136,0.0132794,-0.026009,0.0470852
55126.514605,0.00215356,0.00421348,-0.000230947,0.00877598,-0.00358744,0.0295964
55127.498085,0.00571161,0.00308989,-0.00138568,0.00577367,0.00627803,0.0210762
55128.481625,-0.00131086,0.00234082,-0.00496536,0.0051963,-0.00672646,0.0197309
55129.496850,-0.00215356,0.00224719,-0.00854503,0.00473441,-0.0210762,0.0188341
55130.512065,-0.00411985,0.00224719,-0.00196305,0.00461894,-0.0134529,0.0170404
55131.495540,0.00337079,0.00252809,0.00404157,0.0051963,0.0165919,0.0183857
55132.478985,-0.000842697,0.00215356,-0.00311778,0.00461894,-0.0165919,0.0170404
55133.494145,-0.000468165,0.00355805,0.000461894,0.00773672,0.00403587,0.0278027
55134.509120,0.00149813,0.00299625,0.0091224,0.00635104,0.000896861,0.0210762
55135.524090,0.00411985,0.00280899,0.00808314,0.00635104,0.0161435,0.0210762
55136.507485,-0.000842697,0.00290262,-0.00254042,0.00646651,-0.0107623,0.02287
55137.490850,-0.00102996,0.00308989,0.00242494,0.00588915,-0.0318386,0.0206278
55138.505925,0.00224719,0.00243446,0.00242494,0.00508083,0.0044843,0.0179372
55139.520990,-0.00177903,0.00215356,-0.00127021,0.00438799,0.0103139,0.0161435
55140.567745,0.00102996,0.00243446,-0.00265589,0.00484988,-0.0107623,0.0174888
55141.487625,-0.000842697,0.00215356,-0.00034642,0.00438799,-0.00896861,0.0156951
55142.502625,0.0011236,0.00215356,0.00254042,0.00438799,-0.0197309,0.0156951
55143.517610,0.000280899,0.00224719,0.00323326,0.00450346,-0.0381166,0.0161435
55144.500855,0.00131086,0.00224719,0.00773672,0.00484988,-0.0112108,0.0170404
55145.484085,0.00290262,0.00224719,0.00103926,0.00461894,0.00762332,0.0165919
55146.498990,0.00468165,0.00234082,0.00196305,0.00461894,-0.00986547,0.0170404
55147.513940,0.00870787,0.00271536,0.00750577,0.0051963,0.0237668,0.0197309
55148.497135,0.0110487,0.00290262,0.0337182,0.00600462,-0.00179372,0.0201794
55149.480190,0.0187266,0.00327715,0.0351039,0.00635104,0.00358744,0.0215247
55150.431520,0.0253745,0.00327715,0.0601617,0.00658199,0.0125561,0.0206278
55151.668185,0.0388577,0.00393258,0.0905312,0.00762125,0.0560538,0.0237668
55152.587715,0.0376404,0.00393258,0.0833718,0.0073903,0.0816143,0.0237668
55153.647560,0.036236,0.00458801,0.113048,0.00889145,0.0910314,0.0242152
55154.517105,0.0490637,0.00411985,0.0957275,0.00681293,0.115695,0.0206278
55155.499930,0.031367,0.00346442,0.0623557,0.00600462,0.0215247,0.0179372
55156.482670,0.0259363,0.00337079,0.0518476,0.00588915,0.0278027,0.0174888
55157.497120,0.0166667,0.00299625,0.0309469,0.00542725,0.0412556,0.0170404
55158.511480,0.0190075,0.00299625,0.0548499,0.0056582,0.0390135,0.0165919
55159.494265,0.0231273,0.00299625,0.0487298,0.00542725,0.0264574,0.0161435
55160.209720,0.0148876,0.00402622,0.0376443,0.00808314,0.02287,0.0255605
55161.306675,0.011236,0.0161985,-0.00496536,0.032679,-0.129148,0.127354
55162.257925,0.0109551,0.0113296,0.0181293,0.0202079,0.0618834,0.0825112
55163.209110,0.0191011,0.00692884,0.0579677,0.0133949,0.0295964,0.0461883
55164.223670,0.0311798,0.0076779,0.0472286,0.0139723,0.064574,0.0434978
55165.174795,0.0161985,0.00655431,-0.000692841,0.0122402,0.0825112,0.0439462
55166.189290,0.0088015,0.00561798,0.0220554,0.0108545,-0.0044843,0.0381166
55167.140270,0.0085206,0.00599251,0.0174365,0.0100462,-0.0304933,0.0376682
55168.154565,0.00758427,0.00552434,0.00484988,0.0113164,-0.0201794,0.0426009
55169.105370,0.00299625,0.00514981,-0.00230947,0.00969977,0.0372197,0.0372197
55170.119490,0.00683521,0.00496255,0.0132794,0.010739,-0.0327354,0.0363229
55171.101805,0.00177903,0.00430712,0.00334873,0.0091224,0.055157,0.0367713
55173.493335,0.00337079,0.00383895,0.0150115,0.00808314,0.00538117,0.0304933
55174.491280,0.00121723,0.00440075,0.00877598,0.0091224,-0.00941704,0.0340807
55175.504685,0.000561798,0.00346442,0.00715935,0.00715935,-0.0367713,0.0282511
55181.520530,0.00131086,0.00224719,0.00357968,0.00461894,-0.00896861,0.0170404
55182.502225,0.000655431,0.00280899,0.0039261,0.00531178,0.0116592,0.0201794
55183.515580,0.00280899,0.00262172,0.00704388,0.00484988,0.00179372,0.0170404
55184.497340,0.000561798,0.00337079,0.00461894,0.00600462,-0.00224215,0.0210762
55185.415930,0.00224719,0.00318352,0.00438799,0.00588915,-0.0367713,0.0192825
55186.461265,0.00571161,0.00290262,0.0101617,0.00508083,0.0152466,0.0183857
55187.507040,0.00243446,0.00290262,0.00727483,0.0056582,0.00269058,0.0183857
55188.520395,0.00271536,0.00271536,0.00496536,0.00496536,0.00627803,0.0170404
55189.502590,0.0071161,0.00299625,-0.000115473,0.00531178,0.000896861,0.0179372
55190.484795,0.00514981,0.00327715,0.00427252,0.00588915,-0.0139013,0.0206278
55191.467025,0.00468165,0.00280899,0.010739,0.0051963,0.000896861,0.0188341
55192.195790,0.00917603,0.00477528,-0.00496536,0.00866051,-0.038565,0.0340807
55193.621710,-0.00234082,0.00440075,0.0297921,0.0120092,0.0358744,0.041704
55194.477240,0.00842697,0.00290262,0.0128176,0.0056582,0.0300448,0.0197309
55195.491280,0.00608614,0.00299625,0.00438799,0.0056582,-0.0134529,0.0201794
55196.505310,0.00140449,0.00243446,0.00612009,0.00508083,0.00493274,0.0192825
55197.519370,0.000842697,0.00252809,0.00773672,0.00508083,-0.0188341,0.0183857
55198.501745,0.00280899,0.00252809,0.0017321,0.00508083,-0.0121076,0.0192825
55199.484140,0.00449438,0.00234082,0.00900693,0.00461894,-0.00941704,0.0165919
55200.498245,0.00290262,0.00234082,0.00254042,0.00461894,0.00986547,0.0170404
55201.512350,0.00458801,0.00234082,0.000461894,0.00473441,-0.0147982,0.0161435
55202.494765,0.00262172,0.00234082,-0.000115473,0.00473441,-0.0116592,0.0161435
55203.477190,0.00196629,0.00224719,0.00311778,0.00450346,-0.0197309,0.0161435
55204.491305,0.000655431,0.00224719,0.00265589,0.00461894,-0.00672646,0.0161435
55205.505425,0.000655431,0.00215356,-0.00115473,0.00450346,-0.0224215,0.0161435
55206.519535,0.00102996,0.00205993,0.00600462,0.00450346,-0.0363229,0.0156951
55207.501945,-0.000468165,0.00234082,-0.00150115,0.00484988,-0.02287,0.0165919
55208.484350,0.00093633,0.00224719,0.00381062,0.00496536,0.000896861,0.0174888
55209.498445,0.00280899,0.00234082,0.00404157,0.00473441,0.00134529,0.0170404
55210.512510,0.00280899,0.00234082,0.010739,0.00508083,0.00717489,0.0170404
55211.494885,0.00411985,0.00234082,0.00381062,0.00496536,-0.0103139,0.0174888
55212.477230,0.00477528,0.00234082,0.00715935,0.00496536,-0.0107623,0.0174888
55213.491235,0.00393258,0.00234082,0.00254042,0.00496536,0.00403587,0.0174888
55214.505240,0.00262172,0.00252809,0.00935335,0.00531178,-0.00224215,0.0188341
55215.519215,0.00224719,0.00243446,0.00369515,0.0051963,-0.000896861,0.0183857
