Math, <built-in function sin>
1.000, 0.841, 0.008
2.000, 0.909, 0.009
3.000, 0.141, 0.001
4.000, -0.757, -0.008
5.000, -0.959, -0.010
6.000, -0.279, -0.003
7.000, 0.657, 0.007
8.000, 0.989, 0.010
9.000, 0.412, 0.004
10.000, -0.544, -0.005
11.000, -1.000, -0.010
12.000, -0.537, -0.005
13.000, 0.420, 0.004
14.000, 0.991, 0.010
15.000, 0.650, 0.007
16.000, -0.288, -0.003
17.000, -0.961, -0.010
18.000, -0.751, -0.008
19.000, 0.150, 0.001
20.000, 0.913, 0.009
21.000, 0.837, 0.008
22.000, -0.009, -0.000
23.000, -0.846, -0.008
24.000, -0.906, -0.009
25.000, -0.132, -0.001
26.000, 0.763, 0.008
27.000, 0.956, 0.010
28.000, 0.271, 0.003
29.000, -0.664, -0.007
30.000, -0.988, -0.010
31.000, -0.404, -0.004
32.000, 0.551, 0.006
33.000, 1.000, 0.010
34.000, 0.529, 0.005
35.000, -0.428, -0.004
36.000, -0.992, -0.010
37.000, -0.644, -0.006
38.000, 0.296, 0.003
39.000, 0.964, 0.010
40.000, 0.745, 0.007
41.000, -0.159, -0.002
42.000, -0.917, -0.009
43.000, -0.832, -0.008
44.000, 0.018, 0.000
45.000, 0.851, 0.009
46.000, 0.902, 0.009
47.000, 0.124, 0.001
48.000, -0.768, -0.008
49.000, -0.954, -0.010
50.000, -0.262, -0.003
51.000, 0.670, 0.007
52.000, 0.987, 0.010
53.000, 0.396, 0.004
54.000, -0.559, -0.006
55.000, -1.000, -0.010
56.000, -0.522, -0.005
57.000, 0.436, 0.004
58.000, 0.993, 0.010
59.000, 0.637, 0.006
60.000, -0.305, -0.003
61.000, -0.966, -0.010
62.000, -0.739, -0.007
63.000, 0.167, 0.002
64.000, 0.920, 0.009
65.000, 0.827, 0.008
66.000, -0.027, -0.000
67.000, -0.856, -0.009
68.000, -0.898, -0.009
69.000, -0.115, -0.001
70.000, 0.774, 0.008
71.000, 0.951, 0.010
72.000, 0.254, 0.003
73.000, -0.677, -0.007
74.000, -0.985, -0.010
75.000, -0.388, -0.004
76.000, 0.566, 0.006
77.000, 1.000, 0.010
78.000, 0.514, 0.005
79.000, -0.444, -0.004
80.000, -0.994, -0.010
81.000, -0.630, -0.006
82.000, 0.313, 0.003
83.000, 0.968, 0.010
84.000, 0.733, 0.007
85.000, -0.176, -0.002
86.000, -0.923, -0.009
87.000, -0.822, -0.008
88.000, 0.035, 0.000
89.000, 0.860, 0.009
90.000, 0.894, 0.009
91.000, 0.106, 0.001
92.000, -0.779, -0.008
93.000, -0.948, -0.009
94.000, -0.245, -0.002
95.000, 0.683, 0.007
96.000, 0.984, 0.010
97.000, 0.380, 0.004
98.000, -0.573, -0.006
99.000, -0.999, -0.010
